time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/episodes,rollout/ep_len_mean,train/critic_loss,time/fps,train/n_updates,train/learning_rate
115721,1687,70.10099675000001,-37.12519073486328,7780,14.83,0.08827976137399673,68,115620,0.001
115871,1689,70.19020481000001,-37.43581771850586,7790,14.85,0.21953743696212769,68,115770,0.001
116019,1691,70.19457141,-34.43357467651367,7800,14.85,0.2884836494922638,68,115918,0.001
116168,1694,70.24068035,-37.18714141845703,7810,14.86,0.22084571421146393,68,116067,0.001
116317,1696,70.28193601,-35.71848678588867,7820,14.87,0.3733534812927246,68,116216,0.001
116467,1698,70.52028652,-34.92564392089844,7830,14.92,0.15240302681922913,68,116366,0.001
116615,1700,70.43061905,-35.759708404541016,7840,14.9,0.3583742380142212,68,116514,0.001
116763,1702,70.43867165,-37.71966552734375,7850,14.9,0.1564641296863556,68,116662,0.001
116913,1704,70.43837045000001,-37.70851135253906,7860,14.9,0.10000745952129364,68,116812,0.001
117061,1706,70.42903129999999,-34.3057746887207,7870,14.9,0.29703274369239807,68,116960,0.001
117211,1709,70.42663282,-35.51649475097656,7880,14.9,0.180411696434021,68,117110,0.001
117361,1711,70.43925500999998,-34.97471618652344,7890,14.9,0.3504597842693329,68,117260,0.001
117510,1713,70.48714088,-37.557525634765625,7900,14.91,0.26053673028945923,68,117409,0.001
117659,1715,70.48728852,-36.22805404663086,7910,14.91,0.03688257187604904,68,117558,0.001
117807,1717,70.44441352000001,-33.333316802978516,7920,14.9,0.08772951364517212,68,117706,0.001
117955,1719,70.34982697,-35.29174041748047,7930,14.88,0.1500990241765976,68,117854,0.001
118103,1722,70.35015254,-36.93417739868164,7940,14.88,0.16113799810409546,68,118002,0.001
118251,1724,70.34319353000001,-37.11212921142578,7950,14.88,0.3735504448413849,68,118150,0.001
118399,1726,70.25090395999999,-33.75771713256836,7960,14.86,0.2242366373538971,68,118298,0.001
118547,1728,70.25507018,-37.45121383666992,7970,14.86,0.10375021398067474,68,118446,0.001
118694,1731,70.11600367,-36.016517639160156,7980,14.83,0.04999007284641266,68,118593,0.001
118844,1733,70.11022374999999,-36.30549621582031,7990,14.83,0.3003758192062378,68,118743,0.001
118993,1735,70.10772659,-35.51666259765625,8000,14.83,0.15393635630607605,68,118892,0.001
119141,1737,70.06065088,-37.15753936767578,8010,14.82,0.028379574418067932,68,119040,0.001
119291,1739,70.15557131999999,-37.588809967041016,8020,14.84,0.1055091992020607,68,119190,0.001
119439,1741,70.15146293,-36.49763488769531,8030,14.84,0.25347837805747986,68,119338,0.001
119588,1744,70.19160469,-35.716094970703125,8040,14.85,0.042551085352897644,68,119487,0.001
119738,1746,70.28569465000001,-34.77946853637695,8050,14.87,0.22980822622776031,68,119637,0.001
119887,1748,70.33135965,-33.77348327636719,8060,14.88,0.2335309088230133,68,119786,0.001
120036,1751,70.38034803999999,-36.18855285644531,8070,14.89,0.22049352526664734,68,119935,0.001
120184,1753,70.42940270000001,-34.411258697509766,8080,14.9,0.16600733995437622,68,120083,0.001
120333,1755,70.38411347,-34.769840240478516,8090,14.89,0.21485501527786255,68,120232,0.001
120479,1757,70.24314913,-36.29829406738281,8100,14.86,0.09085406363010406,68,120378,0.001
120628,1760,70.28888028,-35.295326232910156,8110,14.87,0.3540463149547577,68,120527,0.001
120777,1762,70.24979473,-33.39239501953125,8120,14.86,0.23331613838672638,68,120676,0.001
120926,1764,70.29931128999999,-36.481590270996094,8130,14.87,0.08650961518287659,68,120825,0.001
121074,1766,70.25975592,-35.59235382080078,8140,14.86,0.09361191093921661,68,120973,0.001
121222,1768,70.16817760999999,-35.809486389160156,8150,14.84,0.022466255351901054,68,121121,0.001
121372,1770,70.21537569,-37.315223693847656,8160,14.85,0.2398708164691925,68,121271,0.001
121521,1773,70.22622070999999,-36.09735870361328,8170,14.85,0.15964390337467194,68,121420,0.001
121671,1775,70.31634685,-36.19183349609375,8180,14.87,0.29652535915374756,68,121570,0.001
121820,1777,70.31385729,-36.713226318359375,8190,14.87,0.15622977912425995,68,121719,0.001
121968,1779,70.40452161000002,-35.21603012084961,8200,14.89,0.28859463334083557,68,121867,0.001
122116,1782,70.36738987000001,-36.31378936767578,8210,14.88,0.0978533923625946,68,122015,0.001
